0.78,1.7,-0.08,-62.84,-30.11,249.99
0.53,0.8,-0.13,-68.79,92.99,249.99
-0.07,0.03,0.19,-112.79,172.1,249.99
0.03,-0.67,0.37,-47.25,104.39,249.99
0.28,-1.02,0.68,3.05,117.67,249.99
0.19,-1.79,0.8,-62.26,105.26,249.99
0.31,-2.11,0.73,23.45,42.47,157.93
0.63,-1.23,0.67,39.34,5.46,57.22
0.63,-1.13,0.63,-17.31,35.8,31.72
0.45,-1.1,0.64,-21.45,49.22,-55.08
0.34,-0.78,0.79,9.42,14.22,-103.05
0.32,-0.51,0.72,-9.67,-76.55,-110.24
0.46,-1.52,0.68,-45.44,-96.41,-200.1
0.51,-1.78,-0.12,135.56,32.16,-250
-0.26,0.14,0.96,110.26,-8.6,-250
-0.15,0.84,0.87,120.8,-158.73,-250
0.25,0.89,0.25,42.69,-198.94,-250
0.55,0.7,-0.11,42.24,-176.18,-223.19
0.6,0.66,-0.19,65.44,-5.35,-205.03
0.7,1.28,0.04,75.52,-38.06,-110.48
0.95,1.03,0.04,-26.11,3.07,-45.44
0.96,0.67,0.22,-12.76,11.12,-6.61
0.93,0.79,0.38,-16,26.65,26.56
0.91,0.87,0.32,6.33,21.82,72.36
0.79,1.21,0.24,17.8,27.42,148.63
0.61,1.53,0.05,-46.61,56.21,248.73
0.39,1.23,-0.05,-159.52,111.31,249.99
0.21,0.59,0.02,-168.13,126.69,249.99
0.23,-0.1,0.53,-106.88,153.83,249.99
0.37,-1.53,0.87,-142.85,109.79,249.99
0.43,-1.65,1.01,45.17,29.41,185.94
0.67,-1.01,0.78,81.73,2.85,124.92
0.56,-1.05,0.76,-56.59,53.1,79.74
0.58,-0.72,0.62,31.55,14.47,-20.21
0.61,-0.51,0.56,-9.21,-17.21,-3.82
0.58,-1.05,0.78,-26.01,-27.25,-49.26
0.47,-1.77,0.89,-31.3,-36.56,-159.37
0.36,-1.73,0.77,67.58,-69.94,-250
0.41,0.02,0.86,93.82,-39.9,-250
0.02,0.29,0.61,98.14,-158.21,-250
0.39,0.89,0.14,110.07,-160.1,-250
0.69,1.03,-0.08,2.58,-153.81,-196.1
0.66,0.79,-0.16,-57.28,-50.27,-161.07
0.56,0.73,0.04,-4.55,-8.27,-139.57
0.65,1.23,0.11,8.93,-51.83,-62.26
0.8,1.01,0.08,-86.65,-11.47,25.89
0.82,0.7,0.11,-77.39,14.05,46.93
0.82,0.85,0.32,7.33,36.55,103.94
0.6,1.39,0.49,-26.47,16.31,220.27
0.53,1.32,0.36,-96.86,11.51,249.99
0.45,0.55,0.17,-94.31,60.49,249.99
0.47,-0.24,0.42,-121.9,85.66,249.99
0.45,-1.2,0.43,-91.75,70.14,249.99
0.47,-1.6,0.55,25.78,41.89,217.61
0.64,-1.03,0.68,70.63,-2.72,147.78
0.69,-1.02,0.56,25.91,-6.31,116.79
0.63,-0.9,0.56,15.91,10.94,54.57
0.68,-0.73,0.48,25.74,6.81,28.54
0.76,-0.61,0.44,25.16,9.61,20.18
0.71,-0.71,0.49,-5.21,35,9.99
0.57,-1.16,0.71,-1.84,-0.61,-42.85
0.51,-1.51,0.92,10.9,-35.61,-141.56
0.59,-1.74,0.72,-1.3,-51.53,-250
0.45,-1.3,0.56,8.79,19.14,-250
0.28,-0.6,0.3,126.6,36.44,-250
-0.11,0.8,0.49,213.29,-19.2,-250
0.26,1.85,0.7,94.06,-124.19,-223.98
0.49,0.69,0.23,-128.68,-122.47,-67.05
0.76,0.29,-0.04,-30.41,-85.51,-99.45
0.71,0.67,0.1,19.89,11.31,-119.19
0.56,1.23,0.45,7.21,1.71,-48.92
0.75,0.85,0.42,-51.19,-1.74,17.78
0.8,0.58,0.38,-36.05,7.45,39.21
0.87,0.82,0.35,25.47,8.93,88.71
0.75,1.25,0.39,37.22,24.14,175.49
0.65,1.36,0.37,-44.75,13.08,249.99
0.47,1.07,0.47,-87.85,10.53,249.99
0.53,0.58,0.26,-59.96,8.33,249.99
0.54,-0.05,0.37,-109.57,71.29,249.99
0.44,-1.16,0.47,-39.17,46.99,249.99
0.52,-1.14,0.58,66.72,12.54,187.5
0.76,-0.84,0.68,32.57,1.62,142.66
0.68,-1.1,0.68,4.09,21.93,103.42
0.61,-0.82,0.6,49.89,-18.44,28.45
0.75,-0.5,0.39,34.77,-8.7,29.17
0.79,-0.74,0.39,10.07,24.26,35.79
0.53,-1.36,0.6,0.7,42.37,-46.52
0.44,-1.62,0.7,12.37,2.65,-246.57
0.44,-1.25,0.7,61.52,-21.68,-250
0.46,-1,0.54,5.93,1.81,-250
0.06,0.04,0.43,249.99,-57.25,-250
0.48,2.14,0.3,180.88,-153.21,-250
0.74,1.06,0.05,-250,12.86,-48.51
0.57,-0.06,0.27,-111.97,-7.19,-39.47
0.79,0.53,0.24,98.35,-28.06,-59.72
0.82,0.83,0.42,1.28,20.36,-31.33
0.76,0.59,0.59,-30.47,-1.25,25.25
0.78,0.48,0.55,-24.94,-9.11,38.37
0.83,0.42,0.49,-17.98,-6.86,34.47
0.84,0.55,0.43,-4.49,1.81,38
0.9,0.73,0.32,2.9,4.03,82.16
0.73,1.07,0.47,-8.07,8.86,223.86
0.5,1.04,0.48,-119.96,7.95,249.99
0.55,0.35,0.31,-173.07,20.23,249.99
0.55,-0.19,0.48,-17.32,20.71,249.99
0.67,-0.27,0.69,-30,8.92,249.99
0.61,-0.97,0.64,-20.24,-28.02,151.54
0.89,-0.45,0.45,16.58,-23.83,101.18
0.82,-0.7,0.41,0.95,4.46,90.73
0.75,-0.83,0.39,23.51,13.47,53.59
0.79,-0.93,0.4,10.67,34.14,22.48
0.66,-0.88,0.55,10.34,40.91,-8.98
0.68,-0.74,0.58,19.33,-6.42,-47.26
0.74,-0.89,0.57,37.25,-12.73,-125.92
0.73,-1.16,0.73,-43.07,-1.5,-232.36
0.49,-1.6,0.38,25.05,66.43,-250
0.13,-0.04,0.72,249.99,27.6,-250
0.43,0.67,0.22,49,-114.22,-250
0.46,1.19,0.07,138.4,-59.5,-250
0.44,1.44,0.23,-56.09,6.09,-78.38
0.6,0.91,0.27,-48.43,-33.13,7.7
0.74,0.6,0.27,-36.12,-3.33,11.79
0.81,0.57,0.29,-14.78,15.09,4.69
0.78,0.49,0.41,-14.03,36.22,-5.4
0.84,0.64,0.56,-6.95,20.08,15.56
0.79,0.61,0.59,-21.28,6.9,37.61
0.81,0.67,0.51,-25.42,-5.28,53.57
0.68,1.28,0.47,-21.28,6.63,249.99
0.46,1.41,0.44,-107.94,-11.84,249.99
0.39,-0.21,0.26,-177.6,53.11,249.99
0.65,-0.26,0.41,0.1,-17.72,249.99
0.69,-0.69,0.37,9.52,7.21,244.42
0.71,-0.82,0.58,11.8,9.14,138.84
0.82,-0.51,0.64,-0.67,-7.25,105.27
0.84,-0.82,0.57,16.67,6.62,90.58
0.74,-0.92,0.64,25.47,9.49,29.34
0.75,-0.58,0.5,18.3,-3.12,-7.5
0.72,-0.81,0.48,-7.68,6.11,-29.22
0.71,-1.06,0.52,-1.38,0.66,-64.46
0.61,-1.16,0.47,6.3,17.58,-250
0.67,-1.18,0.33,-64.41,72.04,-250
0.28,0.51,0.91,206.79,0.27,-250
0.61,0.61,0.58,57.86,-54.63,-250
0.71,1.27,0.54,-28.44,-67.76,-126.17
0.8,0.72,0.28,-73.62,-25.27,-54.54
0.82,0.32,0.2,-65.26,35.5,-59.24
0.73,0.34,0.52,62.23,32.32,-66.44
0.79,0.61,0.65,18.83,20.28,-23.36
0.83,0.43,0.58,-18.58,1.5,6.1
0.84,0.25,0.55,-8.42,4.86,13.03
0.82,0.41,0.62,8.15,5.71,23.25
0.83,0.66,0.55,1.86,3.83,56.82
0.69,1.3,0.63,2.07,5.64,200.69
0.53,0.93,0.54,-101.17,-21.11,249.99
0.54,0.39,0.53,-91.79,-0.28,249.99
0.49,0.23,0.7,-46.47,-0.24,249.99
0.49,0.06,0.71,-31.88,4.59,249.99
0.57,-0.71,0.72,-88.49,16.06,249.99
0.62,-1.14,0.56,39.63,-14.27,207.56
0.64,-0.98,0.71,13.63,-5.16,143.16
0.7,-1,0.54,29.75,-31.07,67.65
0.75,-0.82,0.53,33.76,-19.43,45.36
0.67,-0.87,0.49,14.76,-4.79,15.27
0.61,-0.69,0.52,14.73,-12.6,-6.07
0.68,-0.57,0.47,-4.82,-16.11,-21.24
0.66,-1.14,0.42,41.8,-7.47,-129.2
0.69,-1.05,0.45,41,42.14,-239.27
0.47,-1.13,0.63,9.97,108.91,-250
0.24,-0.04,0.7,249.99,-50.2,-250
0.66,1.23,0.64,60.27,-107.93,-250
0.84,0.9,0.26,-81.66,-78.83,-104.52
0.67,0.35,0.35,-30.94,-28.21,-69.1
0.75,0.37,0.35,45.36,-11.07,-73.2
0.83,0.66,0.48,19.22,3.72,-48.83
0.8,0.37,0.52,-17.35,-1.9,-8.53
0.8,0.42,0.56,13.46,0.14,-1.58
0.83,0.54,0.49,-4.67,-3.79,-2
0.79,1,0.53,-24.26,-1.94,46.62
0.78,1.21,0.55,-82.23,-20.22,171.98
0.69,1.22,0.43,-76.48,-10.88,249.99
0.47,0.81,0.4,-202.18,4.85,249.99
0.58,-0.66,0.32,-47.2,-18.98,249.99
0.78,-0.59,0.48,29.64,-23.77,249.99
0.59,-0.62,0.61,23.71,5.42,177.93
0.72,-0.88,0.52,9.55,-39.39,80.71
0.85,-0.69,0.55,10.28,2.17,35.35
0.79,-0.77,0.6,-3.66,-1.73,16.24
0.82,-0.79,0.51,-4.71,-12.95,-40.31
0.81,-0.72,0.5,9.26,-20.03,-68.75
0.74,-0.72,0.52,14.3,-13.71,-109.79
0.77,-0.64,0.46,24.39,-16.98,-159.11
0.78,-0.71,0.39,-13.03,12.38,-228.01
0.67,-0.79,0.41,3.07,45.72,-250
0.31,-0.41,0.56,129.61,7.45,-250
0.47,0.22,0.58,207.76,-32.83,-250
0.69,1.48,0.38,199.09,-70.89,-250
0.8,1.39,0.31,-60.32,-67.47,-123.31
0.7,0.8,0.21,-69.45,-41.92,-56.71
0.73,0.64,0.27,9.08,-21.61,-23.82
0.78,0.67,0.33,3.17,-2.01,-17.82
0.8,0.6,0.37,-5.65,2.62,-13.57
0.83,0.66,0.44,-2.38,3.3,-0.63
0.81,0.56,0.45,-6.01,1.3,17.97
0.82,0.62,0.42,1.21,0.81,28.94
0.85,0.93,0.33,-25.15,8.43,93.22
0.68,1.46,0.41,-110.68,24.28,249.99
0.53,0.98,0.32,-206.86,1.75,249.99
0.38,-0.2,0.24,-172.04,-9.16,249.99
0.7,-0.88,0.39,-28.82,-34.65,249.99
0.88,-0.7,0.43,65.7,-8.17,122.95
0.8,-0.52,0.53,27.61,8.58,88.95
0.88,-0.55,0.54,11.57,-9.35,68.37
