Actual,Predicted
['Buddha clap'],[None]
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Buddha clap'],['Swipe']
['Knob'],[None]
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],[None]
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],[None]
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Buddha clap']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],[None]
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],[None]
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],[None]
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],[None]
['Knob'],[None]
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],[None]
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],[None]
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Buddha clap']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],['Pushback']
['Knob'],[None]
['Knob'],['Pushback']
['Knob'],['Pushback']
['Pushback'],['Knob']
['Pushback'],['Knob']
['Pushback'],['Swipe']
['Pushback'],['Swipe']
['Pushback'],['Swipe']
['Pushback'],['Swipe']
['Pushback'],['Swipe']
['Pushback'],['Swipe']
['Pushback'],['Swipe']
['Pushback'],['Knob']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Knob']
['Pushback'],['Knob']
['Pushback'],['Buddha clap']
['Pushback'],['Knob']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],[None]
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
['Pushback'],['Buddha clap']
